Time,Congestion Window
5.84,26000
5.8408,27000
5.8416,27000
5.8424,27000
5.8432,27000
5.844,27000
5.8448,27000
6.0256,27000
6.0264,27000
6.0272,27000
6.028,27000
6.0288,27000
6.0296,27000
6.0304,27000
6.0312,27000
6.032,27000
6.0328,27000
6.0336,27000
6.0344,27000
6.0352,27000
6.036,27000
6.0368,27000
6.0376,27000
6.0384,27000
6.0392,27000
6.04,27000
6.0408,27000
6.0416,27000
6.0424,28000
6.0432,28000
6.044,28000
6.0448,28000
6.0456,28000
6.0464,28000
6.2264,28000
6.2272,28000
6.228,28000
6.2288,28000
6.2296,28000
6.2304,28000
6.2312,28000
6.232,28000
6.2328,28000
6.2336,28000
6.2344,28000
6.2352,28000
6.236,28000
6.2368,28000
6.2376,28000
6.2384,28000
6.2392,28000
6.24,28000
6.2408,28000
6.2416,28000
6.2424,28000
6.2432,28000
6.244,29000
6.2448,29000
6.2456,29000
6.2464,29000
6.2472,29000
6.248,29000
6.4272,29000
6.428,29000
6.4288,29000
6.4296,29000
6.4304,29000
6.4312,29000
6.432,29000
6.4328,29000
6.4336,29000
6.4344,29000
6.4352,29000
6.436,29000
6.4368,29000
6.4376,29000
6.4384,29000
6.4392,29000
6.44,29000
6.4408,29000
6.4416,29000
6.4424,29000
6.4432,29000
6.444,29000
6.4448,29000
6.4456,30000
6.4464,30000
6.4472,30000
6.448,30000
6.4488,30000
6.4496,30000
6.628,30000
6.6288,30000
6.6296,30000
6.6304,30000
6.6312,30000
6.632,30000
6.6328,30000
6.6336,30000
6.6344,30000
6.6352,30000
6.636,30000
6.6368,30000
6.6376,30000
6.6384,30000
6.6392,30000
6.64,30000
6.6408,30000
6.6416,30000
6.6424,30000
6.6432,30000
6.644,30000
6.6448,30000
6.6456,30000
6.6464,30000
6.6472,31000
6.648,31000
6.6488,31000
6.6496,31000
6.6504,31000
6.6512,31000
6.8288,31000
6.8296,31000
6.8304,31000
6.8312,31000
6.832,31000
6.8328,31000
6.8336,31000
6.8344,31000
6.8352,31000
6.836,31000
6.8368,31000
6.8376,31000
6.8384,31000
6.8392,31000
6.84,31000
6.8408,31000
6.8416,31000
6.8424,31000
6.8432,31000
6.844,31000
6.8448,31000
6.8456,31000
6.8464,31000
6.8472,31000
6.848,31000
6.8488,32000
6.8496,32000
6.8504,32000
6.8512,32000
6.852,32000
6.8528,32000
7.0296,32000
7.0304,32000
7.030816,32000
