Time,Sequence Number,Event
49.7032,72000,send
50.7032,72000,send
50.7032,72000,transmit
51.7032,72000,send
52.7032,72000,send
53.7032,72000,send
53.7032,72000,transmit
54.7032,72000,send
55.7032,72000,send
56.7032,72000,send
57.7032,72000,send
57.7032,72000,transmit
58.7032,72000,send
59.7032,72000,send
60.7032,72000,send
60.7032,72000,transmit
61.7032,72000,send
61.7032,72000,transmit
62.7032,72000,send
63.7032,72000,send
63.7032,72000,transmit
64.7032,72000,send
65.7032,72000,send
66.7032,72000,send
66.7032,72000,transmit
66.724,79000,ack
66.724,80000,send
66.724,81000,send
66.724,82000,send
66.724,83000,send
66.724,84000,send
66.724,85000,send
66.724,86000,send
66.724,87000,send
66.724,88000,send
66.724,89000,send
66.724,83000,transmit
66.7248,84000,transmit
66.7256,85000,transmit
66.7264,86000,transmit
66.7272,87000,transmit
66.728,88000,transmit
66.7448,79000,ack
66.7456,79000,ack
66.7464,79000,ack
66.7472,79000,ack
67.7472,80000,send
67.7472,80000,transmit
68.7472,80000,send
68.7472,80000,transmit
68.768,81000,ack
68.768,82000,send
68.768,83000,send
68.768,84000,send
68.768,85000,send
68.768,86000,send
68.768,87000,send
68.768,88000,send
68.768,89000,send
68.768,90000,send
68.768,91000,send
68.768,83000,transmit
68.7688,84000,transmit
68.7696,85000,transmit
68.7704,88000,transmit
68.7712,90000,transmit
68.772,91000,transmit
68.7888,81000,ack
68.7896,81000,ack
68.7904,81000,ack
68.792,81000,ack
69.792,82000,send
70.792,82000,send
71.792,82000,send
72.792,82000,send
73.792,82000,send
73.792,82000,transmit
73.8128,88000,ack
73.8128,89000,send
73.8128,90000,send
73.8128,91000,send
73.8128,92000,send
73.8128,93000,send
73.8128,94000,send
73.8128,95000,send
73.8128,96000,send
73.8128,97000,send
73.8128,98000,send
73.8128,90000,transmit
73.8136,92000,transmit
73.8144,93000,transmit
73.8152,95000,transmit
73.8344,88000,ack
73.8352,88000,ack
73.836,88000,ack
74.836,89000,send
74.836,89000,transmit
74.8568,93000,ack
74.8568,94000,send
74.8568,95000,send
74.8568,96000,send
74.8568,97000,send
74.8568,98000,send
74.8568,99000,send
74.8568,100000,send
74.8568,101000,send
74.8568,102000,send
74.8568,103000,send
74.8568,94000,transmit
74.8576,97000,transmit
74.8584,99000,transmit
75.8568,94000,send
75.8568,94000,transmit
75.8776,95000,ack
75.8776,96000,send
75.8776,97000,send
75.8776,98000,send
